date,n1,n2,n3,n4,n5,n6
6/2/2019,18,9,26,34,49,11
6/6/2019,40,24,37,2,11,12
6/9/2019,25,30,2,49,15,31
6/13/2019,33,46,4,36,32,47
6/16/2019,22,42,41,30,34,8
6/20/2019,14,48,32,11,35,13
6/23/2019,5,1,11,45,36,8
6/27/2019,12,28,5,34,21,16
6/30/2019,3,47,31,25,22,21
7/4/2019,6,40,22,32,31,12
7/7/2019,8,40,16,4,48,2
7/11/2019,42,28,31,3,23,38
7/14/2019,15,21,28,38,26,13
7/18/2019,41,16,27,24,4,37
7/21/2019,1,40,27,35,28,37
7/25/2019,32,7,40,1,37,11
7/28/2019,32,40,20,35,4,23
8/1/2019,6,3,48,25,2,47
8/4/2019,22,26,42,6,7,24
8/8/2019,22,30,31,29,10,4
8/11/2019,25,45,44,37,27,42
8/15/2019,6,7,9,37,30,31
8/18/2019,5,40,24,20,8,27
8/22/2019,39,8,24,46,33,47
8/25/2019,36,29,2,28,16,34
8/29/2019,25,1,13,34,28,30
9/1/2019,36,19,38,44,6,20
9/5/2019,21,40,3,13,30,6
9/8/2019,43,4,48,29,44,23
9/12/2019,8,10,30,26,42,6
9/15/2019,27,45,25,8,10,39
9/15/2019,37,8,4,10,28,21
9/19/2019,5,27,43,18,47,19
9/22/2019,25,24,27,17,29,20
9/26/2019,22,37,27,45,43,40
9/29/2019,14,26,48,43,40,10
10/3/2019,36,7,11,15,48,8
10/6/2019,10,29,6,19,38,45
10/10/2019,21,41,49,30,31,2
10/13/2019,42,23,35,44,32,1
10/17/2019,21,41,15,5,6,45
10/20/2019,32,36,47,49,18,7
10/24/2019,49,6,27,20,26,28
10/27/2019,44,9,41,1,49,5
10/31/2019,38,22,27,24,30,21
11/3/2019,39,48,1,43,40,31
11/7/2019,6,19,44,33,37,2
11/10/2019,10,36,23,12,28,46
11/14/2019,27,17,30,8,13,16
11/17/2019,11,17,15,49,33,6
11/21/2019,4,42,46,43,5,35
11/24/2019,13,37,44,25,21,49
11/28/2019,40,4,8,10,1,12
12/1/2019,40,22,5,33,2,32
12/1/2019,28,39,40,25,32,31
12/5/2019,28,36,33,22,43,37
12/8/2019,43,45,34,27,12,23
12/12/2019,17,2,47,40,22,19
12/15/2019,34,41,3,12,16,2
12/19/2019,8,5,16,26,31,17
12/22/2019,9,39,16,3,44,24
12/31/2019,25,16,5,46,35,6
12/31/2019,14,17,24,8,21,1
1/5/2020,20,27,26,28,41,3
1/9/2020,30,40,39,36,18,19
1/12/2020,45,4,8,44,27,9
1/16/2020,26,17,19,30,20,23
1/19/2020,28,11,9,24,47,3
1/23/2020,39,13,1,24,32,42
1/26/2020,9,23,28,35,18,45
1/30/2020,44,41,16,13,15,31
2/2/2020,7,16,18,8,33,14
2/6/2020,45,31,13,30,18,4
2/9/2020,44,6,3,11,15,33
2/13/2020,4,25,28,48,38,9
2/16/2020,43,20,12,40,46,13
2/20/2020,28,6,12,16,34,31
2/23/2020,39,38,43,40,48,20
2/27/2020,2,26,20,5,14,42
3/1/2020,9,49,25,36,38,24
3/5/2020,21,39,16,6,25,10
3/8/2020,3,6,39,45,26,21
3/8/2020,8,10,9,45,27,16
3/12/2020,27,26,15,10,48,23
3/15/2020,35,36,32,40,23,4
3/19/2020,4,8,49,42,11,9
6/21/2020,2,45,8,22,18,27
6/25/2020,29,39,40,42,10,14
6/28/2020,35,13,33,27,16,5
7/2/2020,27,34,37,8,1,22
7/5/2020,27,13,41,7,1,16
7/9/2020,20,37,26,31,36,17
7/12/2020,23,43,30,44,26,10
7/16/2020,21,47,46,36,23,13
7/19/2020,36,43,47,11,2,33
7/23/2020,25,7,11,6,15,34
7/26/2020,18,13,19,5,29,8
7/30/2020,3,38,34,17,12,5
8/2/2020,47,30,5,28,48,12
8/6/2020,8,47,3,13,14,23
8/9/2020,29,36,13,17,27,46
8/13/2020,12,38,27,35,30,6
8/16/2020,47,11,17,35,3,29
8/20/2020,40,27,26,30,12,11
8/23/2020,47,4,18,20,2,6
8/27/2020,26,39,17,10,43,19
8/30/2020,49,1,14,45,18,42
9/3/2020,29,48,34,12,36,8
9/6/2020,34,9,46,37,3,2
9/10/2020,28,9,18,3,43,37
9/13/2020,40,36,47,42,33,16
9/13/2020,41,39,33,3,16,9
9/17/2020,8,12,47,40,6,30
9/20/2020,34,4,2,3,35,46
9/24/2020,2,42,39,22,34,43
9/27/2020,9,23,45,21,13,4
10/1/2020,23,15,11,47,35,29
10/4/2020,48,9,1,30,5,14
10/8/2020,4,39,27,23,1,15
10/11/2020,10,33,6,4,7,36
10/15/2020,25,1,13,23,37,7
10/18/2020,48,10,36,2,27,23
10/22/2020,36,33,30,4,17,25
10/25/2020,36,35,3,24,31,8
10/29/2020,4,18,31,8,38,42
11/1/2020,33,24,4,40,12,18
11/5/2020,4,34,12,25,40,1
11/8/2020,46,18,20,14,48,5
11/12/2020,38,14,5,21,31,12
11/15/2020,16,48,17,46,22,10
